exemple,relation
"la saucisse de toulouse",origine
"le champagne de reims",origine
"la moutarde de dijon",origine
"le jambon de bayonne",origine
"les vins de bordeaux",origine
"la queue du chat",holonymie
"les roues de la voiture",holonymie
"les pages du livre",holonymie
"les ailes de l'avion",holonymie
"la poignée de la porte",holonymie
"la clé de la porte",instrument du processus
"le marteau du menuisier",instrument du processus
"le pinceau de l'artiste",instrument du processus
"la loupe du scientifique",instrument du processus
"l'épée du chevalier",instrument du processus
"un brin d'herbe",quantification
"une goutte d'eau",quantification
"un grain de sable",quantification
"une miette de pain",quantification
"un flocon de neige",quantification
"la table de bois",matiere
"le verre de cristal",matiere
"la statue de marbre",matiere
"le bijou d'or",matiere
"la chemise de coton",matiere
"le tableau de van gogh",auteur
"la symphonie de beethoven",auteur
"le roman de hugo",auteur
"le créateur de rayman",auteur
"la chanson de brel",auteur
"les pages du livre",matiere
"le marteau du menuisier",matiere
"l'épée du chevalier",matiere
"la statue de marbre",origine
