exemple,relation
"le vin de bordeaux",origine
"le fromage de roquefort",origine
"la porcelaine de limoges",origine
"le champagne de reims",origine
"la moutarde de dijon",origine
"le jambon de bayonne",origine
"la dentelle de calais",origine
"le parfum de grasse",origine
"l'huile de provence",origine
"le cidre de normandie",origine
"la faience de quimper",origine
"le savon de marseille",origine
"le cristal de baccarat",origine
"la biere de belgique",origine
"le chocolat de suisse",origine
"le cafe de colombie",origine
"le the de ceylan",origine
"la soie de lyon",origine
"le cuir de cordoue",origine
"la laine d'ecosse",origine
"le coton d'egypte",origine
"le marbre de carrare",origine
"l'ardoise de bretagne",origine
"la tuile de provence",origine
"le granit de bretagne",origine
"l'eau de vichy",origine
"le sel de guerande",origine
"le miel de lavande",origine
"l'olive de kalamata",origine
"la vanille de madagascar",origine
"la cannelle de ceylan",origine
"le poivre de kampot",origine
"le safran du cachemire",origine
"le wasabi du japon",origine
"le piment d'espelette",origine
"la truffe du perigord",origine
"le caviar de russie",origine
"le saumon d'ecosse",origine
"la morue de norvege",origine
"l'anchois de collioure",origine
"la sardine de bretagne",origine
"l'huitre de belon",origine
"la coquille saint-jacques",origine
"la langoustine de dublin",origine
"le homard du maine",origine
"le crabe de dungeness",origine
"la crevette de camargue",origine
"l'escargot de bourgogne",origine
"le foie gras du perigord",origine
"le confit de canard",origine
"la charcuterie d'auvergne",origine
"le saucisson de lyon",origine
"le boudin de morteau",origine
"l'andouille de vire",origine
"le pate de campagne",origine
"la rillettes du mans",origine
"le cassoulet de toulouse",origine
"la bouillabaisse de marseille",origine
"la ratatouille de nice",origine
"la quiche de lorraine",origine
"la tarte de tatin",origine
"les macarons de nancy",origine
"les calissons d'aix",origine
"les berlingots de carpentras",origine
"les dragees de verdun",origine
"les pralines de montargis",origine
"les nougats de montelimar",origine
"les caramels d'isigny",origine
"les bonbons de vichy",origine
"la confiture de bonne maman",origine
"le miel d'acacia",origine
"la gelée de groseille",origine
"la compote de pommes",origine
"le sirop d'erable",origine
"l'eau de rose",origine
"l'essence de lavande",origine
"l'huile d'olive",origine
"le vinaigre de xeres",origine
"la moutarde de meaux",origine
"le ketchup de heinz",origine
"la mayonnaise de benedicta",origine
"la tête du poisson",holonymie
"l'aile de l'oiseau",holonymie
"la patte du chien",holonymie
"la queue du chat",holonymie
"l'oreille du lapin",holonymie
"le bec du canard",holonymie
"la corne du taureau",holonymie
"la crinière du cheval",holonymie
"la carapace de la tortue",holonymie
"l'écaille du poisson",holonymie
"la plume de l'oie",holonymie
"la griffe du lion",holonymie
"la trompe de l'éléphant",holonymie
"la bosse du chameau",holonymie
"les rayures du zèbre",holonymie
"la poche du kangourou",holonymie
"les épines du hérisson",holonymie
"la toile de l'araignée",holonymie
"les ailes du papillon",holonymie
"la ruche des abeilles",holonymie
"le nid de l'oiseau",holonymie
"la tanière du renard",holonymie
"la fourmilière des fourmis",holonymie
"la termitière des termites",holonymie
"le terrier du lapin",holonymie
"la hutte du castor",holonymie
"le tronc de l'arbre",holonymie
"les branches de l'arbre",holonymie
"les racines de l'arbre",holonymie
"les feuilles de l'arbre",holonymie
"les fruits de l'arbre",holonymie
"les fleurs du rosier",holonymie
"les pétales de la rose",holonymie
"les épines de la rose",holonymie
"la tige de la fleur",holonymie
"les graines de la fleur",holonymie
"l'écorce de l'arbre",holonymie
"la sève de l'arbre",holonymie
"les champignons de la forêt",holonymie
"la mousse de la pierre",holonymie
"le lichen du rocher",holonymie
"les algues de la mer",holonymie
"le corail de l'océan",holonymie
"le sable de la plage",holonymie
"les galets de la côte",holonymie
"les vagues de l'océan",holonymie
"l'écume de la mer",holonymie
"la marée de l'océan",holonymie
"les nuages du ciel",holonymie
"les étoiles du ciel",holonymie
"la lune du ciel",holonymie
"le soleil du ciel",holonymie
"les rayons du soleil",holonymie
"l'ombre de l'arbre",holonymie
"la rosée du matin",holonymie
"la brume du lac",holonymie
"le brouillard de la vallée",holonymie
"la neige de la montagne",holonymie
"la glace du lac",holonymie
"les cristaux de glace",holonymie
"les flocons de neige",holonymie
"la grêle de l'orage",holonymie
"la pluie du nuage",holonymie
"l'orage du ciel",holonymie
"l'éclair de l'orage",holonymie
"le tonnerre de l'orage",holonymie
"le vent de la tempête",holonymie
"la bourrasque du vent",holonymie
"la brise du soir",holonymie
"l'air du matin",holonymie
"l'atmosphère de la terre",holonymie
"la couche d'ozone",holonymie
"les continents de la terre",holonymie
"les océans de la terre",holonymie
"les montagnes de la terre",holonymie
"les vallées de la terre",holonymie
"les plaines de la terre",holonymie
"les déserts de la terre",holonymie
"les forêts de la terre",holonymie
"les rivières de la terre",holonymie
"les lacs de la terre",holonymie
"les îles de l'océan",holonymie
"les fjords de la norvège",holonymie
"les deltas du fleuve",holonymie
"les estuaires de la rivière",holonymie
"les affluents du fleuve",holonymie
"la source de la rivière",holonymie
"l'embouchure du fleuve",holonymie
"le clé de la porte",instrument
"le marteau du charpentier",instrument
"le tournevis de l'électricien",instrument
"la scie du menuisier",instrument
"le pinceau du peintre",instrument
"la brosse du décorateur",instrument
"le crayon de l'artiste",instrument
"la plume de l'écrivain",instrument
"le stylo de l'étudiant",instrument
"la gomme du dessinateur",instrument
"la règle de l'architecte",instrument
"l'équerre du géomètre",instrument
"le compas du navigateur",instrument
"la boussole de l'explorateur",instrument
"la loupe du détective",instrument
"le microscope du biologiste",instrument
"le télescope de l'astronome",instrument
"la calculatrice du comptable",instrument
"l'ordinateur du programmeur",instrument
"la souris de l'ordinateur",instrument
"le clavier de l'ordinateur",instrument
"l'écran de l'ordinateur",instrument
"l'imprimante de l'ordinateur",instrument
"la caméra du photographe",instrument
"l'objectif de la caméra",instrument
"le trépied du photographe",instrument
